ID,Poklic
597540,Filmski igralec
597540,Televizijski igralec
597540,Gledališki igralec
597540,Igralec
597785,Novinar
597785,Slikar
597785,Partizan
597785,Pesnik
597785,Pisatelj
597895,Univerzitetni profesor
597895,Arhitekt
602275,Duhovnik
602275,Politik
603418,Šahist
603601,Esejist
603601,Dramatik
603601,Politik
603601,Pisatelj
603613,Esejist
603613,Literarni kritik
603613,Pesnik
603613,Pisatelj
603613,Scenarist
607638,Operni pevec
607638,Performer
607638,Zoolog
607638,Pevec
611832,Urednik
611832,Duhovnik
612798,Nabožni pisatelj
612798,Avtor
612798,Duhovnik
612798,Pisatelj
613843,Nabožni pisatelj
613843,Založnik
613843,Urednik
613843,Duhovnik
613843,Politik
613843,Pisatelj
615477,Novinar
615477,Pevec
616322,Košarkarski trener
616322,Košarkar
619848,Alpski smučar
622403,Nogometaš
627869,Alpski smučar
628070,Slavist
628070,Univerzitetni profesor
628070,Diplomat
628070,Politik
630584,Odbojkar
631856,Smučarski tekač
631856,Smučarski skakalec
640635,Univerzitetni profesor
640635,Politolog
640635,Politik
642128,Vojaška osebnost
646767,Lama
649437,Pedagog
649437,Politik
649437,Učitelj
654539,Hokejist
655958,Košarkar
658393,Jezikoslovec
658393,Filolog
658393,Teolog
658393,Čebelar
658393,Prevajalec
658393,Duhovnik
658622,Atlet
658969,Jezikoslovec
658969,Prevajalec
658969,Pesnik
658969,Odvetnik
658969,Pisatelj
658969,Sodnik
659020,Risar
659020,Raziskovalec
659020,Alpinist
659020,Kartograf
659020,Izumitelj
659020,Inženir
660313,Novinar
660313,Pravnik
660313,Politik
664963,Veslač
666436,Nogometaš
666660,Hokejist
666819,Rokometaš
671454,Kolesar
683339,Pozavnist
683339,Dirigent
683339,Skladatelj
683339,Glasbeni učitelj
683339,Jazz glasbenik
683339,Univerzitetni profesor
683397,Harmonikar
683397,Tekstopisec
685146,Novinar
685146,Diplomat
685146,Politik
685704,Mecen
685704,Diplomat
685704,Politik
685825,Hokejist
685825,Hokejski trener
686024,Avtor
686024,Pisatelj
686170,General
686170,Politik
695479,Politik
695479,Vojaška osebnost
695841,Inženir
695841,Poslovnež
695841,Tovarnar
695841,Izumitelj
696768,Nogometaš
696837,Alpski smučar
697765,Slikar
697765,General
697765,Pesnik
697765,Pisatelj
698109,Nogometaš
698109,Nogometni trener
700720,Aristokrat
700720,Zgodovinar
700720,Diplomat
700720,Pisatelj
700898,Politik
700898,Odvetnik
700898,Pisatelj
703064,Aristokrat
706853,Šprinter
709563,Prevajalec svetega pisma
709563,Teolog
709563,Prevajalec
709567,Alpski smučar
709567,Reper
710497,Jezikoslovec
710497,Bibliograf
710497,Urednik
710497,Prevajalec
710497,Dramatik
710497,Knjižničar
710497,Politik
710497,Pesnik
710497,Pisatelj
712261,Smučarski skakalec
713658,Romanopisec
713658,Novinar
713658,Avtor
713658,Prevajalec
713658,Pisatelj
714370,Skladatelj
714370,Univerzitetni profesor
714567,Kolesar
715928,Antropolog
715928,Avtor
715928,Duhovnik
715928,Pesnik
715928,Pisatelj
717534,Mirovni aktivist
717534,Avtor
717534,Pisatelj
717816,Smučarski skakalec
717835,Plavalec
722550,Telovadec
722550,Orodni telovadec
722550,Odvetnik
722558,Kolesar
722558,Športni direktor
723186,Smučarski skakalec
723632,Plavalec
723768,Novinar
725515,Smučarski skakalec
725580,Nogometaš
725593,Športni strokovni komentator
725593,Kolesar
725593,Športni direktor
725815,Prevajalec
725815,Duhovnik
725859,Filozof
725859,Meteorolog
725859,Prevajalec
725859,Matematik
725859,Astrolog
725859,Pisatelj
725859,Astronom
725881,Rokometaš
725915,Smučarski skakalec
726172,Nogometaš
726553,Pastor
726553,Duhovnik
726553,Pisatelj
729527,Prevajalec
729527,Duhovnik
729535,Duhovnik
737043,Župnik
737043,Duhovnik
737043,Politik
737043,Pisatelj
737297,Geograf
739185,Atlet
740556,Rokometaš
741899,Biatlonec
741899,Smučarski tekač
741920,Biatlonec
742763,Kitarist
742763,Pianist
742763,Pevec
742985,Košarkar
743146,Zločinec
743146,Serijski morilec
743213,Didžej
746844,Smučarski tekač
750895,Hokejist
752072,Jezikoslovec
752072,Prevajalec
752072,Partizan
752072,Pesnik
760748,Politik
760748,Partizan
760748,Politični komisar
766564,Alpski smučar
766564,Športni strokovni komentator
769006,Jezikoslovec
769006,Teolog
769006,Avtor
769006,Prevajalec
769006,Pisatelj
769498,Nogometaš
773740,Plavalec
774948,Šahist
774964,Šahist
775607,Novinar
775607,Politik
778552,Psihiater
778552,Politik
778552,Zdravnik
779789,Pesnik
779789,Pisatelj
779789,Prevajalec
779789,Psiholog
780927,Šahist
781125,Novinar
781125,Prevajalec
781125,Pesnik
783615,Tenisač
784781,Nogometaš
789050,Teolog
789050,Avtor
789050,Prevajalec
789050,Duhovnik
789050,Pisatelj
789485,Pastor
789485,Pisatelj
790323,Novinar
790323,Pisatelj
790518,Pesnik
790518,Duhovnik
793767,Pesnik
799836,Diplomat
799836,Politik
818085,Rokometaš
826657,Prevajalec svetega pisma
826657,Jezikoslovec
826657,Škof
826657,Prevajalec
826657,Duhovnik
826657,Pesnik
827849,Redaktor
827849,Partizan
827849,Politik
827849,Pesnik
835330,Avtor
835330,Duhovnik
835330,Politik
835330,Pisatelj
836877,Zgodovinar
836877,Politik
836877,Pesnik
839217,Nabožni pisatelj
839217,Avtor
839217,Duhovnik
839217,Učitelj
839217,Pisatelj
854181,Partizan
854181,Politik
854181,Vojaška osebnost
868889,Radijski voditelj
868889,Televizijski voditelj
868889,Policist
868889,Komik
876214,Alpski smučar
883237,Hokejist
883242,Tenisač
886453,Alpski smučar
890434,Trener smučarskih skokov
890434,Smučarski skakalec
891134,Aranžer
891134,Skladatelj filmske glasbe
891134,Dirigent
891134,Skladatelj
891134,Fotograf
891153,Namizni tenisač
891159,Jezikoslovec
891159,Univerzitetni profesor
892497,Hokejist
893695,Kipar
893790,Alpski smučar
894287,Plavalec
894289,Nogometaš
896334,Kolesar
896334,Športni direktor
896336,Alpski smučar
898265,Politik
898475,Smučarski skakalec
908321,Rokometaš
909708,Duhovnik
909989,Alpinist
909989,Duhovnik
909989,Skladatelj
917958,Nogometaš
923722,Smučarski skakalec
923884,Nogometaš
924983,Prevajalec
924983,Pisatelj
924983,Scenarist
925583,Kipar
925583,Slikar
928486,Nogometaš
928486,Nogometni trener
929468,Kolesar
931742,Nogometaš
931742,Nogometni trener
934288,Smučarski skakalec
938769,Košarkar
940527,Trener smučarskih skokov
940527,Smučarski skakalec
941440,Jezikoslovec
941440,Esejist
941440,Alpinist
941440,Filozof
941440,Sociolog
941440,Prevajalec
941440,Pisatelj
944304,Univerzitetni profesor
944304,Politični komisar
944304,Politik
946403,Kolesar
949189,Kolesar
952068,Raziskovalec
952068,Alpinist
952068,Fotograf
953886,Košarkar
954678,Nogometaš
954678,Nogometni trener
955310,Hokejist
955310,Hokejski trener
955463,Atlet
956353,Smučarski skakalec
956490,Kolesar
957051,Hokejist
959302,Glasbeni učitelj
959302,Skladatelj
959316,Trener smučarskih skokov
959316,Smučarski skakalec
960268,Smučarski skakalec
961199,Kolesar
962790,Hokejist
963256,Boksar
963905,Filmski igralec
963905,Tekstopisec
963905,Pevec
964655,Šahist
964655,Novinar
964655,Urednik
965515,Pesnik
965515,Pisatelj
966713,Minister
966713,Politik
969720,Nogometaš
971495,Košarkar
972064,Jezikoslovec
972064,Mladinski pisatelj
972064,Urednik
972064,Prevajalec
972064,Duhovnik
972064,Dramatik
972064,Pesnik
972064,Pisatelj
973928,Prevajalec
973928,Duhovnik
973928,Pesnik
973928,Pisatelj
981034,Diplomat
981034,Politik
981034,Odvetnik
981034,Pisatelj
981817,Smučar prostega sloga
981817,Alpski smučar
983877,Atlet
983930,Hokejist
984291,Bankir
984291,Partizan
984291,Častnik
984291,Politični komisar
984291,Politik
984295,Hokejist
984303,Smučarski skakalec
999990,Smučarski skakalec
999994,Smučarski skakalec
1002064,Novinar
1002064,Prevajalec
1002064,Učitelj
1002250,Univerzitetni profesor
1002250,Fizik
1020553,Jezikoslovec
1020553,Prevajalec
1020553,Pisatelj
1024048,Tekstopisec
1024048,Kantavtor
1024048,Pevec
1024048,Pesnik
1024048,Skladatelj
1027873,Alpski smučar
1029182,Rokometaš
1050640,Jezikoslovec
1050640,Teolog
1050640,Prevajalec
1050640,Učitelj
1050640,Pisatelj
1055212,Novinar
1055212,Politik
1057929,Duhovnik
1057929,Zgodovinar
1083392,Politik
1083392,Pisatelj
1083404,Jezikoslovec
1083404,Literarni kritik
1083404,Novinar
1083404,Urednik
1083404,Redovnik
1083404,Prevajalec
1083404,Duhovnik
1083404,Pesnik
1083404,Učitelj
1083404,Pisatelj
1091369,Košarkar
1100280,Jezikoslovec
1100280,Esejist
1100280,Vohun
1100280,Urednik
1100280,Prevajalec
1100280,Dramatik
1100280,Politik
1100280,Pesnik
1110015,Nogometaš
1112771,Košarkar
1115819,Košarkar
1132212,Plavalec
1145090,Nogometaš
1158590,Nordijski kombinatorec
1159458,Esejist
1159458,Mladinski pisatelj
1159458,Dramatik
1159458,Knjižničar
1159458,Pesnik
1159458,Pisatelj
1165504,Nogometaš
1168126,Biatlonec
1176370,Hokejist
1178302,Kapelnik
1178302,Dirigent
1178302,Skladatelj
1181096,Filozof
1181096,Univerzitetni profesor
1183469,Nogometaš
1183478,Smučarski skakalec
1183480,Nogometaš
1185395,Igralec
1185395,Filmski igralec
1225765,Univerzitetni profesor
1225765,Politik
1225765,Filozof
1225765,Sociolog
1226523,Zgodovinar
1230596,Univerzitetni profesor
1230596,Psihiater
1230596,Politik
1230878,Veslač
1231405,Nogometaš
1231561,Hokejist
1242668,Jezikoslovec
1242668,Literarni zgodovinar
1242668,Etnolog
1242668,Prevajalec
1242668,Pesnik
1242668,Pisatelj
1247104,Nogometaš
1249359,Hokejist
1254183,Politik
1254746,Alpski smučar
1256081,Šahist
1260275,Ekonomist
1260275,Politik
1260371,Režiser
1260371,Filmski režiser
1260371,Dramatik
1260371,Arhitekt
1260371,Igralec
1261547,Glasbeni učitelj
1261547,Glasbenik
1261547,Klarinetist
1262039,Filmski igralec
